
# New session started: 2016-08-20 03:49:42 (EDT)
# mode=0, expid=-1, expType=0, user=0
2.3
166.111.139.130|YONGJIN-LIU|Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/52.0.2743.116 Safari/537.36
0|39|2
0|16|3|6|3|13.49
1|30|1|7|7|2.481
2|87|8|7|8|2.902
3|27|2|1|1|2.551
4|46|6|4|6|1.714|20|6.533
5|30|3|1|3|2.9|4|3.906
6|79|5|3|5|7.96
7|67|5|2|2|4.312
8|69|6|1|1|2.807
9|67|7|5|7|6.159
10|67|7|2|2|2.303|7|5.025
11|16|5|3|3|1.9|17|5.333
12|22|4|5|4|3.107
13|22|5|6|6|2.368|2|4.691
14|79|6|3|6|1.888
15|46|5|6|6|2.157
16|87|6|8|6|2.08
17|51|8|3|8|2.587
18|46|4|5|5|2.396
19|22|4|6|4|2.505
20|6|2|7|2|27.935
21|7|7|3|7|3.191
22|78|6|8|6|3.457
23|27|4|1|4|2.745
24|69|6|8|6|2.464
25|77|5|3|3|2.076
26|6|5|2|2|2.501
27|87|6|7|7|2.748
28|79|6|5|6|2.58
29|30|3|7|7|2.154
30|51|4|3|4|1.846
