
# New session started: 2016-08-25 02:40:34 (EDT)
# mode=1, expid=9, expType=0, user=0
2.3
121.195.114.38|121.195.114.38|Mozilla/5.0 (Windows NT 6.3; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Maxthon/4.4.7.1000 Chrome/30.0.1599.101 Safari/537.36
0|23|3
0|24|1|6|1|9.551
1|24|3|7|7|12.679
2|24|3|4|3|8.494|10,19,20|108.939
3|23|2|5|2|4.473
4|21|6|1|1|22.021
5|14|6|3|3|31.746
6|24|8|7|7|18.702
CHECKPOINT|PASS
8|21|3|7|3|16.971
9|23|6|3|3|20.873
10|23|1|6|1|29.051
11|24|2|5|5|32.267
12|24|8|5|5|39.593
13|23|2|1|2|23.369
14|14|5|2|2|19.146
15|14|8|1|1|14.316
16|21|4|5|5|16.003
17|21|4|3|3|5.253
18|24|2|1|2|34.577
19|14|5|4|5|21.826
20|21|6|3|3|10.45
21|23|2|7|7|7.669
22|23|3|4|3|4.896
CHECKPOINT|PASS
24|21|8|5|5|17.864
25|21|5|2|2|15.279
26|21|8|7|7|9.514
27|24|6|4|6|30.931
28|14|8|7|7|58.53
29|24|6|3|3|9.606
30|14|6|1|1|38.232
CHECKPOINT|PASS
32|23|7|3|3|6.519
33|14|3|7|3|21.225
34|14|2|7|7|8.473
35|21|7|2|2|43.508
36|24|1|8|1|33.752
37|14|6|4|4|15.31|16,18|30.579
38|21|8|1|8|10.872
39|14|3|4|3|7.8
40|21|6|4|6|3.79
41|24|2|7|7|11.5
42|14|5|8|5|5.482
43|23|4|6|4|3.182
44|23|8|5|8|4.577
45|23|1|8|1|3.29
46|24|5|4|5|6.437
47|23|7|8|7|3.519
48|21|2|1|2|3.271
49|23|5|4|4|2.929
50|14|2|1|2|18.307
# Session ended successfully: 2016-08-25 02:59:26 (EDT)
