
# New session started: 2016-08-25 04:48:59 (EDT)
# mode=1, expid=7, expType=0, user=0
2.3
166.111.68.231|166.111.68.231|Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/38.0.2125.122 Safari/537.36 SE 2.X MetaSr 1.0
1|23|0
0|12|5|8|5|8.169
1|11|5|7|7|10.535
2|11|8|6|8|16.187
3|12|1|4|1|20.397
CHECKPOINT|PASS
5|11|4|6|6|7.724
6|4|7|3|7|12.292
7|4|6|4|6|8.721
8|50|2|1|2|9.974
9|4|5|1|1|6.624
10|50|5|7|7|7.538
11|11|3|8|8|10.776|19|35.571
12|50|5|1|1|15.189
13|4|7|5|5|12.032
14|12|4|2|2|6.228
CHECKPOINT|PASS
16|50|8|6|6|9.22
17|50|4|1|1|28.089
18|12|3|2|2|45.758
19|4|5|8|5|18.389
20|12|7|5|5|12.563
21|11|8|5|8|17.075
CHECKPOINT|PASS
23|12|1|5|1|11.771
24|50|5|8|8|13.434
25|4|7|6|6|5.483
26|12|2|1|1|4.288|10|13.256
27|4|3|8|3|7.39
28|12|6|4|6|5.753
29|12|6|7|6|5.693
30|4|1|4|1|4.278
31|11|2|4|2|4.387
32|11|1|5|1|8.317
33|11|7|3|3|9.738
34|50|3|2|2|10.626
35|50|4|2|2|9.118
36|50|8|3|3|9.974
37|4|2|1|1|6.293
38|12|8|3|3|4.303
39|11|1|2|1|15.76
40|50|4|6|4|3.961
41|4|2|3|3|7.818
42|50|3|7|3|10.722
43|4|2|4|2|7.8
44|4|6|8|6|4.135
45|12|3|7|3|8.574
46|11|7|6|7|4.396
47|50|6|7|6|6.222
48|12|8|6|6|3.651
49|11|1|4|1|4.24|2|9.318
50|11|3|2|2|11.284|8|13.096
# Session ended successfully: 2016-08-25 05:04:10 (EDT)
